Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Lisboa, Portugal",01/01/2021,53.2,44.7,47.3,39.2,,0.22,,,12.3,284.08,,6.7,3.2,78.35,Rain
"Lisboa, Portugal",01/02/2021,54,43.5,47.6,39.8,,0,,,11.8,329.13,,6.8,2.8,74.19,Clear
"Lisboa, Portugal",01/03/2021,53.6,41.8,47.2,38.6,,0.02,,,7.4,249.42,,6.7,2.2,77.04,Rain
"Lisboa, Portugal",01/04/2021,53.2,41.3,47.2,39.3,,0,,,9.5,281.74,,7.5,7.9,79.22,Clear
"Lisboa, Portugal",01/05/2021,47.3,39.2,43.4,35.3,,0.02,,,11.2,88.46,,6,2.7,73.34,Rain
"Lisboa, Portugal",01/06/2021,45.5,36.7,42.3,31.3,,0,,,16.3,38.88,,7.4,4.3,64.6,Clear
"Lisboa, Portugal",01/07/2021,50.6,42.3,46.3,35.3,,0,,,15.2,34.33,,7.4,3.7,53.28,Clear
"Lisboa, Portugal",01/08/2021,49.4,42.2,45,34.5,,0,,,22.2,122.88,26.8,7.4,5.3,44.5,Clear
"Lisboa, Portugal",01/09/2021,46.4,40.5,43.5,33,,0,,,17.4,208.75,,6.8,3.5,50.7,Clear
"Lisboa, Portugal",01/10/2021,49.9,40.4,45,33.9,,0,,,13.7,60.33,,6.8,1.5,56.65,Clear
"Lisboa, Portugal",01/11/2021,49.1,41,44.8,36.1,,0,,,15,81.67,,7.4,2.8,49.64,Clear
"Lisboa, Portugal",01/12/2021,50.1,37.5,43,32.8,,0,,,7,62.54,,7,0,57.93,Clear
"Lisboa, Portugal",01/13/2021,52.4,36.3,45.5,42.1,,0,,,7.1,111.13,,6,1,77.63,Clear
"Lisboa, Portugal",01/14/2021,55.5,46.1,51.6,42.9,,0,,,13.1,224.58,,7,7.7,76.72,Clear
"Lisboa, Portugal",01/15/2021,57.7,48.3,52.4,44.2,,0,,,11.1,219.79,21.9,6,2,78.52,Clear
"Lisboa, Portugal",01/16/2021,54.4,43.1,48.2,40.3,,0,,,7.1,101.79,,6.1,0.4,70.76,Clear
"Lisboa, Portugal",01/17/2021,58,40.9,48.9,38.5,,0,,,8.6,119.21,,6.1,0.2,66.31,Clear
"Lisboa, Portugal",01/18/2021,56.1,40.8,48.3,36.4,,0,,,8.4,92.33,,6.1,0.2,66.62,Clear
"Lisboa, Portugal",01/19/2021,56.5,41.9,50.7,38.8,,0.75,,,15.8,135.96,,4.1,5,82.73,Rain
"Lisboa, Portugal",01/20/2021,59.2,53.8,56.5,,,0.44,,,18,240.38,35.8,5.7,5.8,90.18,Rain
"Lisboa, Portugal",01/21/2021,58.4,54.9,57.5,,,0.53,,,20,231.46,34.4,4.5,5.6,94.31,Rain
"Lisboa, Portugal",01/22/2021,60.7,52.3,55.7,,,0.06,,,20.2,261.17,34.4,6.4,9.6,76.99,Rain
"Lisboa, Portugal",01/23/2021,59.1,52.8,56.4,,,0.49,,,18.8,248.96,27.7,5.2,8.9,93.54,Rain
"Lisboa, Portugal",01/24/2021,59.9,53.1,57,,,0.21,,,15.1,240.46,17.9,6.3,12.9,91.23,Rain
"Lisboa, Portugal",01/25/2021,62.6,57.6,59.3,,,0.18,,,15.6,251.63,30,5.4,15.1,92.52,Rain
"Lisboa, Portugal",01/26/2021,65.1,57.5,59.8,,,0.3,,,8.3,261.08,,5,19.4,97.02,Rain
